"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"80",9946,9709,10326,9382,9737,9999,9439,10149,10291,10075,9934,10387,10522,10287,10504,10960,10440,10715,10601,10998,10989,11168,11024,10817,11523,11104,10853,10896,11446,10679,10900,10494,10978,10623,10605,9709,8840,7864,8278,10893,10714,10228,9711,8848,8655,8253,8193,8040,7722,7557,7352,7394,7165,6872,7382,7168
"81",9864,9942,9989,9166,9172,9818,9269,9883,9668,10007,9771,10202,10265,10511,10337,10816,10468,10546,10916,10425,11258,11149,11168,10844,11585,11583,11021,11200,11605,11236,11263,10879,11227,10849,11239,10901,9914,9199,8204,8181,11493,11350,10717,9670,9481,8935,8808,8771,8002,8011,7789,8045,7784,7440,7897,7576
"82",9646,9866,10510,9075,9253,9631,9422,10254,9882,9972,9917,10548,10298,10464,10586,10868,10570,10681,10867,10497,10679,11489,11338,10848,11646,11585,11384,11490,11771,11500,11729,11211,11669,11199,11427,11536,11402,10483,9644,8280,8603,12059,12160,10662,10070,9431,9398,9222,8595,8541,8338,8482,8650,8175,8413,8102
"83",9297,9114,9900,9176,9123,9637,9064,10051,9591,9543,9883,10316,10398,10091,10294,11098,10345,10426,10646,10523,10724,10606,11389,10933,11555,11601,11223,11633,11696,11641,11713,11570,12123,11340,11623,11849,11720,11524,10689,9594,8499,8814,12597,11700,11270,10230,10065,9817,9344,9139,8812,9122,9133,8978,9286,8842
"84",8665,9095,9024,8634,8966,9140,8876,9598,9307,9515,9144,9714,10331,9865,10070,10547,10268,10085,10725,10317,10584,10467,10498,10842,11579,11270,11260,11283,11708,11277,11751,11762,12253,11542,12045,11757,11698,12075,11757,10587,9862,8732,9429,12143,12203,11281,10724,10413,9692,9760,9191,9619,9774,9564,10197,9498
"85",8073,8230,8570,7700,8202,8626,8085,8940,8605,8910,8857,9236,9514,9596,9489,9993,9612,9869,10115,9964,9792,10342,10120,10001,11236,10968,10636,11240,11421,11289,11596,11441,12224,11715,12029,11753,11777,11705,12399,11600,10679,10075,9265,9140,12468,12224,11637,11024,10115,10207,9613,9942,10142,9684,10581,10268
"86",7465,7608,7749,7027,7420,7861,7760,8651,8168,8287,8419,8997,8931,8935,9144,9475,8988,9279,9513,9341,9589,9792,9783,9488,10424,10591,10446,10718,11078,10971,11401,11245,11798,11500,12025,11996,11752,11840,12069,11719,11388,10811,10374,8751,9030,12180,12527,11694,10755,10510,10117,10579,10253,10035,10810,10689
"87",6140,6691,6969,6218,6745,6916,6949,7717,7431,7328,7583,7868,8054,8076,8368,8858,8071,8169,8635,8635,8672,8784,9221,9047,9635,9543,9749,10080,10418,10339,10784,10895,11593,10999,11583,11615,11496,11501,11759,11402,11605,11582,11193,9639,8669,8837,12297,12668,11383,10826,10350,10550,10771,10323,10977,10833
"88",5371,5473,5941,5306,5742,6060,5703,6709,6587,6782,6750,7125,7470,7323,7219,7843,7434,7654,7744,7756,7915,8214,8343,8292,8920,8751,8390,9319,9692,9376,10032,9923,10905,10493,11092,11143,11299,11309,11256,11051,11107,11579,11574,10269,9605,8336,8697,12730,11999,11433,10641,10873,10720,10368,11265,10743
"89",4351,4628,4970,4696,4913,5347,5199,5796,5592,5879,5994,6361,6411,6511,6529,6935,6838,7017,6955,7092,7448,7500,7546,7284,8052,8112,7862,8234,9037,8667,9062,9215,10207,9654,10236,10350,10815,10857,10956,10420,10681,11073,11440,10505,10142,8907,8161,8836,11477,11886,10922,11173,11013,10499,11346,10840
"90",3674,3842,3987,3631,4060,4468,4397,4891,4803,5084,5223,5377,5687,5753,5885,6267,5673,5937,6321,6080,6096,6580,6780,6666,7299,7262,7010,7339,7656,7739,8362,8353,9213,8797,9565,9539,9693,10102,10351,9881,9737,10282,10725,10077,9964,9155,8712,7878,7913,11518,11345,11415,10871,10556,11306,10654
"91",2990,3005,3193,2940,3315,3480,3568,4065,3746,4030,4294,4621,4556,4809,4904,5164,4962,5032,5152,5450,5457,5465,5634,5743,6026,6053,5933,6396,6816,6719,7398,7198,7993,7780,8482,8528,8754,8980,9609,9135,9168,9415,9563,9391,9665,9266,8639,8510,7153,7629,10492,11330,10936,9993,10693,10297
"92",2314,2392,2608,2358,2614,2861,2896,3346,3261,3479,3393,3923,3896,4005,4002,4353,4111,4219,4479,4518,4709,4657,4724,4743,5395,5097,5291,5560,5835,5753,6165,6288,7004,6699,7374,7368,7675,7965,8394,8190,8175,8628,8734,8505,8642,8582,8650,8388,7540,6780,6969,10607,10679,9811,10288,9715
"93",1810,1891,1980,1802,2051,2201,2228,2594,2562,2714,2832,2952,3129,3326,3334,3603,3384,3369,3696,3532,3644,3880,3876,3938,4435,4469,4229,4565,4917,4777,5109,5070,5954,5702,6230,6310,6643,6790,7171,6981,7372,7671,7957,7161,7776,7595,7888,7941,7033,6800,5911,6720,9735,9281,9756,8944
"94",1353,1384,1461,1341,1500,1601,1687,1907,1881,2014,2128,2320,2431,2619,2494,2790,2560,2787,2827,2747,2921,3152,3211,3107,3347,3485,3519,3574,3982,3865,4171,4066,4696,4614,5317,5265,5500,5686,5902,5726,5982,6319,6643,6460,6447,6384,6747,7096,6563,6429,5838,5630,6095,8280,9360,8123
"95",1009,946,1014,909,1086,1193,1223,1396,1440,1612,1620,1733,1823,1719,2024,2213,1994,2045,2153,2209,2249,2291,2411,2457,2688,2721,2610,2836,3075,3129,3273,3379,3679,3573,4103,4179,4409,4556,4696,4764,4877,5057,5522,5173,5429,5297,5641,5891,5770,5647,5547,5300,4996,5167,7633,7588
"96",725,729,751,719,732,855,868,1039,1010,1115,1146,1297,1319,1288,1339,1592,1538,1599,1586,1618,1679,1777,1827,1904,2061,2038,2110,2203,2367,2417,2569,2490,2913,2827,3166,3245,3338,3542,3820,3741,3792,3998,4337,4190,4332,4267,4530,4698,4584,4809,4654,4895,4694,4073,4635,6254
"97",487,455,503,464,501,528,585,669,703,702,787,842,928,997,964,1064,1043,1099,1211,1124,1252,1310,1363,1272,1444,1507,1472,1686,1691,1752,1834,1937,2103,2113,2290,2303,2518,2658,2848,2852,2872,2962,3289,3210,3362,3334,3405,3603,3475,3845,3838,3941,3870,3575,3535,3598
"98",335,328,353,306,339,395,387,442,475,511,519,622,603,666,698,710,712,747,857,847,864,929,890,954,1019,1037,1068,1121,1218,1215,1298,1324,1566,1519,1571,1669,1745,1896,2073,2037,2207,2259,2395,2284,2500,2531,2667,2878,2663,2797,2924,3173,3146,2958,3030,2593
"99",195,183,192,188,211,223,262,277,279,302,331,384,395,447,483,486,463,481,535,498,583,587,616,671,722,728,728,843,893,939,972,937,1107,996,1192,1188,1232,1354,1396,1395,1512,1642,1660,1652,1781,1722,1953,2072,1927,2032,2129,2386,2443,2385,2438,2155
"100",108,143,142,135,130,172,141,202,189,197,225,256,248,279,281,312,316,317,350,416,398,444,442,432,497,512,531,598,642,571,657,637,764,717,799,785,862,974,983,972,1065,1116,1215,1119,1184,1206,1366,1463,1364,1492,1482,1660,1726,1619,1864,1653
"101",64,79,82,81,95,92,86,105,117,130,159,133,164,188,187,179,231,221,204,248,261,244,296,313,328,304,335,373,404,416,394,438,482,514,542,588,528,562,620,643,675,710,791,795,872,799,865,929,1016,1043,1042,1109,1138,1212,1367,1290
"102",41,39,34,41,36,60,56,74,70,73,51,82,95,108,95,98,113,132,130,161,144,160,160,175,202,211,207,224,251,258,272,265,316,322,337,322,364,370,398,372,429,493,525,466,553,537,577,622,598,680,648,714,722,781,820,803
"103",27,22,21,32,24,31,30,41,60,47,39,45,49,77,58,60,71,77,71,72,91,71,105,103,112,107,135,126,159,156,169,156,189,171,195,218,249,229,216,249,249,269,316,298,333,311,374,403,346,434,426,458,474,461,537,493
"104",14,16,14,8,11,18,20,17,23,24,25,28,24,45,37,36,35,56,43,56,46,46,42,55,73,68,104,97,78,97,92,103,108,123,114,150,128,110,174,134,150,157,165,166,175,171,210,232,202,231,246,279,272,281,304,316
"105",6,4,6,4,9,12,12,14,19,19,13,8,17,19,15,25,20,25,19,24,32,33,25,44,41,32,46,53,51,48,58,58,75,58,76,65,70,87,78,72,80,83,90,81,118,119,111,131,134,116,152,167,165,155,170,163
"106",4,1,6,1,5,2,1,6,5,6,6,5,3,9,11,6,10,12,13,14,15,13,16,18,13,15,26,25,31,22,28,28,34,36,36,41,40,65,38,43,33,48,61,50,47,55,50,72,68,63,58,87,90,83,97,90
"107",0,2,1,0,1,4,0,3,1,5,4,4,3,1,3,6,6,3,5,12,8,5,10,7,13,5,14,15,12,12,15,12,17,13,20,20,27,25,19,23,16,32,20,31,25,21,18,40,36,35,39,42,46,51,53,49
"108",0,0,3,1,0,0,0,2,0,2,1,4,1,1,1,6,0,1,3,5,4,6,6,3,6,7,1,9,16,12,10,10,11,5,9,8,9,13,7,12,16,7,9,11,15,17,14,11,21,19,18,28,36,30,27,26
"109",0,0,0,0,1,0,1,0,1,0,3,1,0,1,0,1,0,1,0,3,1,2,1,2,2,1,2,0,1,4,6,0,6,10,4,3,5,10,3,7,6,6,8,9,9,10,12,11,9,6,13,8,16,9,13,13
"110",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2,1,0,1,1,0,0,1,1,2,0,1,2,3,2,7,5,3,8,3,2,3,0,5,7,5,4,6,4,11,11,9,9,16,12,11
